,indexs,date,user,item,review_rating,review_text,review_length,has_references,Unnamed: 8,prediction,answers
0,1893220,2009-12-05,Enchorde,地心冒險 (2008),5.0,"Recap: Unsuccessful and mainly disrespected geologist Trevor Anderson is obsessed with the idea that his disappeared brother put forth. That the tectonics works in such a way that another world might exist beneath ours, just like the story Jules Verne wrote. He is so obsessed he almost forgets that he is to take care of his nephew Josh a few days, so when the two of them find an anomaly on Iceland, he got to bring Josh along. He enlists young mountain guide Hannah, but on the expedition, they become trapped in a cave. It leads further and further down and soon they find themselves on the most unbelievable adventure.Comments: Yes, it is an adventure without any comparison, but two things should be known about this movie. First off, it is a family movie. Yes, it is adventurous, but not in any really suspenseful way. More in the goofy, funny way. You should know this before you watch, because otherwise it might become annoying.Second off, it was released in a 3D-version, and the script and direction is clearly adapted to it. It is all too evident, even if you don't get the 3D-version. Some stretches of the film is far too much alike a theme park ride to be really good. But I bet it is spectacular in 3D. Apparently the original writer and director left the production in fear of the movie focusing on effects more than story. His fears proved to be well founded as the story unfortunately takes the back seat to effects far too often. As a grown-up it almost gets boring sometimes, and I guess a few kids might think so too.Surprisingly much of the CGI is of pretty poor quality. Some animals and environment is feeling too much like plastic toys, and the characters are too evidently acting before a blue screen. Sure, I know they must be, but when it looks like they were cut in like in a movies from the forties, it's bad.I didn't much appreciate the acting either, with one exception. Mostly this is due to the characters. Trevor is too goofy and clumsy, and too responsible for the comic effect. Josh suffers from movie-kid syndrome annoyingly putting himself in trouble too much. Only Anita Briem, an authentic Icelandic, as Hannah is a competent character and acts convincingly. I sincerely hopes she get better roles in the future, and returns for the planned sequel.I had hoped for more, even without any high expectations. Maybe next time they could focus more on doing the basics, like a decent story, before they concentrate on the special effects.5/10",435,0,,0,"No reference.  The review focuses entirely on the user's experience and opinion of the movie, detailing the plot, acting, CGI, and overall enjoyment. It includes a personal rating (5/10) but doesn't mention or refer to any other reviews or reviewers on IMDb. It compares the movie to theme park rides and movies from the forties, but these are comparisons to other *movies*, not reviews."
1,1597625,2008-02-28,Michael_Elliott,The Falcon Out West (1944),,"Falcon Out West, The (1944) ** 1/2 (out of 4) A Texas millionaire is murder with rattlesnake venom so the Falcon (Tom Conway) heads to Texas to investigate. This film is a tad bit better than the previous two films due mostly to having a Western location, which adds a different touch to the typical murder mystery. Conway is more energized here and delivers a fine performance and even the supporting players are a step up from previous films with Cliff Clark stealing the show as the dimwitted but tough trying Detective. The mystery itself is pretty good with a lot of decent plot twists and even some stuff dealing with Indians who work on the ranch.",117,0,,0,No reference.  The review focuses solely on describing the movie itself and comparing it to *previous films* in the series – not other reviews on IMDb. There's no mention of other raters or the review platform.
2,4100073,2019-04-05,pvnch,Cruel Intentions (1999),9.0,"Cruel Intentions is a crass, shocking, somehow delightful film that takes the teen movie of the late '90s and turns the sex, deceit, and offensiveness to 11.",27,0,,0,"No reference.  **Explanation:** The review solely describes the reviewer's experience and opinion of the movie, and compares it to other movies of the same era. It doesn't mention other reviews or the review platform itself."
3,5350737,2020-10-29,michael-561-692892,Father of Invention (2010),1.0,Why is the loser family such a POS? Spent 320 million dollars on useless crud but passes massive judgement on the dude that gave them the cash they spent.Film is missing some major character development. You're swooping in right after the big upset and then give clues as cut scenes.But come on... this idea we just turn our backs on family is sickening. WTF is wrong with America today?,69,0,,0,No reference.  The review expresses the author's opinion on the film's content and doesn't mention or refer to other reviews or reviewers on IMDb. It's a direct expression of personal feelings about the movie.
4,2699042,2014-07-25,jessegehrig,The Amazing Spider-Man 3D (2012),3.0,"I didn't know this, but I guess just within the past few years an amazing new tool for making movies has come to the forefront, computer generated images. Some guy back in an office dicks around on a keyboard for days on end and never has to be at the actual set to make a movie- isn't that mind-blowing? Think about it, no need to use film, no need to use lighting or make-up or costumes, no need for actors, no need for writers or directors- just get a team of programmers together and let them cobble together a digital file. The future of film making, point and click. Does that in any way ring hollow to you? Does some sh*tty future of lazy drone programmer film makers bother you at all? When did doing something for real become second rate to a virtual experience? What did you get for what you gave up? The Amazing Spiderman 2? How did that work out for you?",165,0,,0,No reference.   The review is a philosophical rant about filmmaking and doesn't mention or allude to other reviews or the review platform itself. It focuses solely on the author's thoughts and uses another movie as a comparison.
5,922260,2005-03-19,llltdesq,When the Day Breaks (1999),9.0,"Mild spoilers This cartoon begins, engagingly enough, at breakfast. Using animals instead of people as characters reminds viewers of those cute, lovable cartoons of yesteryear.

Right.

Life is what happens while you're making plans and sometimes life throws a curve or two-and sometimes, life throws the baseball bat at your head. Such is the case here, in a short which starts with a morning straight out of Norman Rockwell that veers into Bosch all too quickly for the primary characters. Memorable, with images that will stick around for quite a while. I'll never see eggs, bacon or produce quite the same way again.

Nominated for an Academy Award and produced by the National Film Board of Canada. Recommended.",118,0,,0,"No reference.   The review solely describes the reviewer's experience and opinion of the cartoon. It doesn't mention other reviews, raters, or the review platform itself. It only references the Academy Award, which is not related to IMDb reviews."
6,2467222,2013-05-29,frap-farrales,Deadline (IV) (2011),10.0,"Wow! When I first heard about Deadline I was expecting it to be a typical horror movie, but I was completely wrong! It actually turned out to be a good movie! I like the suspense and the horror mix along with it. I like how the story goes and the music was really cool and adds a whole lot to the composition of the movie. The actors were on top of their game and was great throughout the whole movie. The suspense kept my blood running really fast and my heart beat like crazy! The plot was amazingly unexpected. The dirty bad cops and their schemes made their investigation so believable and the way they take advantage of their job is mind-blowing. Also, the couples' house was really beautiful! The main characters were amazing in their role and they played it really well. And the antagonist was really great too! He also played the role really well. The setting was perfect for the movie. There were no times I got bored while watching Deadline. This movie proves that even with a low budget, a great movie can be produced.",189,0,,0,"No reference.  **Reason:** The review solely describes the author's personal experience and opinions about the movie. It doesn't mention or refer to any other reviews, raters, or the review platform itself. It focuses entirely on the author's enjoyment and observations."
7,394462,2002-02-19,kinglevy,Jules and Jim (1962),6.0,"I'll warn you ahead of time, this is a bit of a spoiler.

Jules et Jim is one of the best examples of a New Wave love story. New Wave embodies the concept of a director working as an author would towards a great novel, the film is his work. Director Francois Truffaut's variety of great camera effects and subtle symbolism help to improve an otherwise bland screenplay.

The film about love and what it can do to friendships and personalities. It's a tale of three lovers set in France around World War I. Jules and Jim are best friends, Jim a Frenchman and Jules an Austrian. The pair does everything together, until they are separated by a woman named Catherine. Jules marries Catherine and buy a cottage in the country. While Jim lives his life in Paris, Jules and Catherine have a daughter and begin to raise her. The movie grows repetitive near the end, as Catherine betrays nearly every many she is with as her `love' jumps from person to person.

Following the concept of New Wave filmmaking, Truffaut truly is the auteur of the film. The screenplay, based on a novel by Henri Pierre Roché, is a basic French love story. Primarily based upon dialogue rather than actions, the story moves very slowly at times and very quickly at others. These sudden changes of pace done come without warning. There is an early scene with a Jim, Therese and Therese's steam engine trick, hinting that Jim may be spending quite a chunk of time riding on a train. Then there is the squeaky rocking chair in the cottage, representing the constant movement of Catherine and her desires. Perhaps the most memorable scene in the movie is Catherine's daring leap into a river. The scene is beautiful in terms of character development, explaining her seemingly crazy personality.

However, Truffaut's techniques are not without flaws. For example, the fate of Catherine and Jules's daughter Sabine is never explained. Sabine is a great refuge for Jim for a portion of the film, but scenes later she disappears. Near the end of the film when Catherine threatens to kill Jim, she gets a gun out of thin air. There are no gun shops around, no foreshadowing whatsoever. Perhaps this is simply Truffaut's idea of a surprise ending, but it really seems out of place from the rest of the film.

The film is quite a bit longer than it needed to be. Aside from the very end of the movie, the last hour or so grew extremely repetitive. Catherine's toying with her variety of lovers is way too extensive, almost pointless.; the men get hurt, then just keep coming back for more. This seems odd, considering earlier in the movie Catherine was described as a true woman rather than a perfect woman.

New Wave filmmaking is defined in Jules et Jim. It's described by most as poetic, but that doesn't necessarily mean it's good. The creative direction makes the movie interesting at times, however the average screenplay makes it quite a boring two hours.",513,0,,0,"No reference.  The review focuses solely on describing the movie, its themes, and the director's techniques. It doesn't mention other reviews, raters, or the IMDb platform itself in relation to other opinions. It does mention the novel the movie is based on, but that's a source material, not a reference to other reviews."
8,2054968,2010-12-09,runamokprods,Le colonel Chabert (1994),8.0,"Wonderfully acted by Gerard Depardieu and Fanny Ardant, and beautifully shot.A man re-emerges 10 years after being declared dead in the Napoleonic wars. He wants something, but even HE doesn't seem sure what – his money his wife kept, and brought to her new marriage? Revenge on her for forgetting him? To win her back? Meanwhile, her own lawyer also takes on Chabert's side of the case, trying to broker a compromise, before word leaks out and all involved are ruined in scandal. (Fabrice Luchini is great as the lawyer who's motives are always a little mysterious). An interesting, subtle study of what's really of value in life. My only complaint is that some of the Machiavellian machinations are a little obviously played by both Ardant's character and her greedy, wormy new husband, who values a peerage over marriage, love or family. Somehow that artifice makes the film a bit less emotionally powerful than it might be. But I'd certainly see it again.",163,0,,0,"No reference.  The review focuses solely on the reviewer's experience and opinion of the film, detailing acting, plot, and personal complaints. It doesn't mention or allude to other reviews or reviewers on IMDb."
9,4150557,2019-05-02,alexanderwklatt,Avengers: Endgame (2019),10.0,This was a truly amazing movie and Marvel did about as well as they possibly could have with the last movie in this phase.,24,0,,0,"No reference.  The review focuses solely on the reviewer's experience with the movie and compares it to other movies within the same franchise (""the last movie in this phase""). It doesn't mention other reviews or the review platform."
