,index,date,user,item,review_rating,review_text,review_length,has_references,Example,Unnamed: 9,Unnamed: 10,prediction,answers
0,764112,2012-11-03,BpPfor4USyvpxTvROQ7LlA,amura-japanese-new-york,5.0,Tried take out since this is only 5 star sushi nearby on yelp so I was interested. Definitely good sushi and fresh so no complaints and had to join in with the other 5 star raters. Have some unique roll options that help it stand out from some other sushi places nearby.,52,1,1,,,1,"Reference to other reviews.

The phrase ""join in with the other 5 star raters"" explicitly acknowledges and references the opinions of other reviewers on Yelp."
1,2421263,2016-10-25,FQdXPAbOEiBhM9la7J5xYg,high-street-on-hudson-new-york,5.0,"It&#39;s very hard to beat brunch at High Street on Hudson right now. Everything begins with their bread. High Street&#39;s bread is so fresh and homemade, it truly sets them apart and takes the meal up a notch. I would very rarely pay $4 for a bread selection, but it&#39;s definitely worth it there. <br><br>I&#39;ve been a few times now, but keep gravitating back to the pastrami sandwich if I go for lunch. The rye bread is delicious and the pastrami is right up there with Katz&#39;s. If you&#39;re there for lunch and brought an appetite, I highly recommend. <br><br>Egg dishes are also fantastic too. Great portions and execution. Just an overall 10/10 experience every time there.",117,0,0,,,1,"Reference to other reviews.

The text compares High Street on Hudson to Katz's, which implies a comparison to other establishments and likely reflects information gleaned from reviews or recommendations."
2,94012,2008-12-21,Phm2JdcR0h0shEkHiJmCDA,koodo-sushi-new-york-2,4.0,"Scale of 1-10: Food: 7 Service: 9 Atmosphere: 9 Dinner for 2 (including tax and tip): $80 Favorite dish: mexican spicy salmon roll Pros: -Very large and diverse menu, lots of different types of sushi and rolls in addition to other types of non-Japanese cuisines -Very quiet over the weekend, we were the only people in the restaurant until some people walked in while we were walking out -Decent sized portions -Large, comfortable environment, lots of booths and wide open spaces -Friendly, quick service -Quality of sushi is decent for the lower-than-average prices Cons: -Restaurant is in the basement level of an office building, no windows -Quality of food is decent but not spectacular -Getting to the bathroom was kind of scary, you have to walk down a dark hallway to get there",133,0,0,,,0,"No reference.

The review focuses solely on describing their personal experience and the restaurant's qualities without mentioning other reviews or external comparisons."
3,273318,2010-07-25,GsS_uCk0Rjwh135sNxZK9g,europa-cafe-new-york-8,2.0,"Went here on a lunch break.  It was 100 degrees that day so I wanted something light....and I was tired of walking in the heat.  Inside looks like an upscale deli with lots of tables.  We were seated quickly.  I ordered the Arizona wrap which had chicken, roasted corn, and chipotle ranch sauce in it,  When it came out it had turkey instead of chicken.....I am not a big fan of turkey, meh.  The plus side was that it came with a nice cool garden salad.  My sister ordered the Very Veggie wrap....the ingredients looked fresh but the wrap had no dressing so it was extremely dry.   The coffees and dessert looked appetizing  but we just did not have time to order any of that.  The service was quick and speedy.  Overall it was so-so.",135,0,0,,,0,"No reference.

The text describes a personal experience and doesn't mention any reviews or comparisons to other establishments. It simply recounts the diner's observations and opinions."
4,2189129,2016-03-26,6wNOy9mdBpsdp-SKAF3LTg,shawarma-grill-new-york,2.0,"I got the chicken sandwich platter. Asked them to make it spicy. Where to start. For what I paid (~$10), the meat was dry and the fries were very average. The hot sauce wasn't even moderately spicy, which didn't help things at all. The veggies were decent though. Ultimately, I think I was not drunk enough to enjoy this.",59,0,0,,,0,"No reference.

The review focuses solely on the personal experience with the food and doesn't mention any external sources like reviews or recommendations."
5,1835502,2015-08-07,ueigGdRBU3Cv0N-dH8hgOA,munchies-cafe-brooklyn,4.0,I don't get full from eating at Munchies but they are just for snacks. The service is pretty good. There was one day that they forgot 2 of the orders when I was eating there but that's ok. I was somewhat surprised that tips were already charged within the bill already.,51,0,0,,,0,"No reference.

The review focuses solely on a personal experience and doesn't mention or allude to other reviews or external opinions about the restaurant."
6,2374404,2016-07-29,ORUSfeLmO-l8M9kjmyqjng,alta-linea-new-york,5.0,Great outdoor seating and standing area outside the hotel. Nice vibe. Came with a group of friends just for a drink. Somebody heard the frozen negroni was supposed to be really good. I got it and it definitely did not disappoint. I have to say though that it doesn't taste like a normal negroni and it's a more sweet than bitter. The frozen lemon drink was also good. We didn't get any food so can't comment on it.,78,0,0,,,0,"No reference.

The text mentions a friend recommending the drink, but it doesn't reference any reviews or opinions found on platforms like Yelp."
7,2082483,2016-01-20,0Zy3hfgvmD3PbkXz_gc7QA,gotan-new-york,4.0,"Great atmosphere and music selection. Strong and aromatic coffee, but slightly overpriced for a takeout coffee. For sit-in, it's fine.",20,0,0,,,0,"No reference.

The review describes the experience and doesn't mention any external sources or comparisons with other reviews or establishments."
8,789636,2012-12-14,V9D5eeUtYRku6-0hizbyww,the-malt-house-new-york,3.0,"Food is decent here...had the meatball sliders, they were ok, but not memorable.  Also had the fritters - don't really know what a fritter actually is, but what I had was decent.   The space itself, is a bit dark,  and not very spacious..definitely a good spot if you're looking for renting out the space for  private event, but don't see it as somewhere to go for happy hour. Staff is ok, not overly friendly or attentive, but they get the job done.",82,0,0,,,0,"No reference.

The review focuses solely on describing the food and atmosphere of the restaurant, without mentioning any external sources or comparisons to other reviews/platforms."
9,1479033,2014-11-24,3mwqzfJCBbYSi_0Tpc_Abg,lucali-brooklyn-3,4.0,"Not much to add to what people have already said. I think my roommates may punch me for only giving them 4 stars, but I just can't justify giving them 5 stars with the wait time + the prices. This pizza is truly superb and absolutely delicious. The hostess didn't have much in the way of a positive attitude, but our servers were wonderful. We put our names in around 6pm and were told to come back at 10. We did, and ended up waiting another half hour before being seated. We ordered two pizzas--one with mushrooms, half pepper and half pepperoni, and the other was a basic margarita with shallots. The total for that? $58. With tip, I think we ended up spending about $70. Two pizzas at $29 each. I'm going to let that sink in. It's a lot! I think they put an entire basil plant on each pizza, but I had no complaints. Basically, was the pizza amazing? Yes. I'd say it's on par with the best I've had, but good lord--that wait? I don't think it justified a 4+ hour wait. I waited for 2 hours for Battersby on a weekend, and that was worth it. To wait twice as long, this would have to be, comparatively, twice as good. It wasn't. I'd go back, though...on a weekday!",223,0,0,,,1,"Reference to other reviews.

The user mentions waiting for ""Battersby"" and compares the wait time and value to that experience, indicating they are referencing another restaurant and its reputation."
