index,date,user,item,review_rating,review_text,review_length,has_references,Example,,
764112,2012-11-03,BpPfor4USyvpxTvROQ7LlA,amura-japanese-new-york,5.0,Tried take out since this is only 5 star sushi nearby on yelp so I was interested. Definitely good sushi and fresh so no complaints and had to join in with the other 5 star raters. Have some unique roll options that help it stand out from some other sushi places nearby.,52,1,1,,
2421263,2016-10-25,FQdXPAbOEiBhM9la7J5xYg,high-street-on-hudson-new-york,5.0,"It&#39;s very hard to beat brunch at High Street on Hudson right now. Everything begins with their bread. High Street&#39;s bread is so fresh and homemade, it truly sets them apart and takes the meal up a notch. I would very rarely pay $4 for a bread selection, but it&#39;s definitely worth it there. <br><br>I&#39;ve been a few times now, but keep gravitating back to the pastrami sandwich if I go for lunch. The rye bread is delicious and the pastrami is right up there with Katz&#39;s. If you&#39;re there for lunch and brought an appetite, I highly recommend. <br><br>Egg dishes are also fantastic too. Great portions and execution. Just an overall 10/10 experience every time there.",117,0,0,,
94012,2008-12-21,Phm2JdcR0h0shEkHiJmCDA,koodo-sushi-new-york-2,4.0,"Scale of 1-10: Food: 7 Service: 9 Atmosphere: 9 Dinner for 2 (including tax and tip): $80 Favorite dish: mexican spicy salmon roll Pros: -Very large and diverse menu, lots of different types of sushi and rolls in addition to other types of non-Japanese cuisines -Very quiet over the weekend, we were the only people in the restaurant until some people walked in while we were walking out -Decent sized portions -Large, comfortable environment, lots of booths and wide open spaces -Friendly, quick service -Quality of sushi is decent for the lower-than-average prices Cons: -Restaurant is in the basement level of an office building, no windows -Quality of food is decent but not spectacular -Getting to the bathroom was kind of scary, you have to walk down a dark hallway to get there",133,0,0,,
273318,2010-07-25,GsS_uCk0Rjwh135sNxZK9g,europa-cafe-new-york-8,2.0,"Went here on a lunch break.  It was 100 degrees that day so I wanted something light....and I was tired of walking in the heat.  Inside looks like an upscale deli with lots of tables.  We were seated quickly.  I ordered the Arizona wrap which had chicken, roasted corn, and chipotle ranch sauce in it,  When it came out it had turkey instead of chicken.....I am not a big fan of turkey, meh.  The plus side was that it came with a nice cool garden salad.  My sister ordered the Very Veggie wrap....the ingredients looked fresh but the wrap had no dressing so it was extremely dry.   The coffees and dessert looked appetizing  but we just did not have time to order any of that.  The service was quick and speedy.  Overall it was so-so.",135,0,0,,
2189129,2016-03-26,6wNOy9mdBpsdp-SKAF3LTg,shawarma-grill-new-york,2.0,"I got the chicken sandwich platter. Asked them to make it spicy. Where to start. For what I paid (~$10), the meat was dry and the fries were very average. The hot sauce wasn't even moderately spicy, which didn't help things at all. The veggies were decent though. Ultimately, I think I was not drunk enough to enjoy this.",59,0,0,,
1835502,2015-08-07,ueigGdRBU3Cv0N-dH8hgOA,munchies-cafe-brooklyn,4.0,I don't get full from eating at Munchies but they are just for snacks. The service is pretty good. There was one day that they forgot 2 of the orders when I was eating there but that's ok. I was somewhat surprised that tips were already charged within the bill already.,51,0,0,,
2374404,2016-07-29,ORUSfeLmO-l8M9kjmyqjng,alta-linea-new-york,5.0,Great outdoor seating and standing area outside the hotel. Nice vibe. Came with a group of friends just for a drink. Somebody heard the frozen negroni was supposed to be really good. I got it and it definitely did not disappoint. I have to say though that it doesn't taste like a normal negroni and it's a more sweet than bitter. The frozen lemon drink was also good. We didn't get any food so can't comment on it.,78,0,0,,
2082483,2016-01-20,0Zy3hfgvmD3PbkXz_gc7QA,gotan-new-york,4.0,"Great atmosphere and music selection. Strong and aromatic coffee, but slightly overpriced for a takeout coffee. For sit-in, it's fine.",20,0,0,,
789636,2012-12-14,V9D5eeUtYRku6-0hizbyww,the-malt-house-new-york,3.0,"Food is decent here...had the meatball sliders, they were ok, but not memorable.  Also had the fritters - don't really know what a fritter actually is, but what I had was decent.   The space itself, is a bit dark,  and not very spacious..definitely a good spot if you're looking for renting out the space for  private event, but don't see it as somewhere to go for happy hour. Staff is ok, not overly friendly or attentive, but they get the job done.",82,0,0,,
1479033,2014-11-24,3mwqzfJCBbYSi_0Tpc_Abg,lucali-brooklyn-3,4.0,"Not much to add to what people have already said. I think my roommates may punch me for only giving them 4 stars, but I just can't justify giving them 5 stars with the wait time + the prices. This pizza is truly superb and absolutely delicious. The hostess didn't have much in the way of a positive attitude, but our servers were wonderful. We put our names in around 6pm and were told to come back at 10. We did, and ended up waiting another half hour before being seated. We ordered two pizzas--one with mushrooms, half pepper and half pepperoni, and the other was a basic margarita with shallots. The total for that? $58. With tip, I think we ended up spending about $70. Two pizzas at $29 each. I'm going to let that sink in. It's a lot! I think they put an entire basil plant on each pizza, but I had no complaints. Basically, was the pizza amazing? Yes. I'd say it's on par with the best I've had, but good lord--that wait? I don't think it justified a 4+ hour wait. I waited for 2 hours for Battersby on a weekend, and that was worth it. To wait twice as long, this would have to be, comparatively, twice as good. It wasn't. I'd go back, though...on a weekday!",223,0,0,,
583813,2012-02-13,DmdBHVgsWHumq-GZ91iK1w,red-house-asian-fusion-flushing,4.0,"Mislabeled as Japanese. They have sushi but the menu is heavily northern Chinese/Shanghainese food. Good xiao loong bao  (little steamed soup dumplings) and stir fried nien-go. And the braised pork shoulder is awesome. Being half shanghai/ningbo, I approve. In a strange neighborhood, but worth the drive to have a wonderful meal.",51,0,0,,
248138,2010-05-24,oID4QGAu8v1mQfKOSEt_Bg,giorgios-of-gramercy-new-york,4.0,"Just celebrated my dad's bday at Giorgio's with a dinner for 8. Everything was delicious, portions were a good size and our guests were raving. I was charged a $20 per bottle cork fee, but that worked out well bc I brought in 3 bottles of wine, and the cheapest bottle on their menu was $40...and also a $3 per person cake fee. Overall we had a great time, I think this place is good for groups!",77,0,0,,
2114667,2016-02-10,oXPaU9MqWEjknXz38p5LRw,agora-taverna-forest-hills-2,5.0,"This is one of my favorite spots for seafood or just great Greek food! By far one of the gems of Austin street. The restaurant itself has a great vibe and Mediterranean decor with lovely music. Although the music can sometimes overpower the dinner table conversation, you can overlook it because the food will keep your mouth busy. One of my favorites is their burgers, which they cook at a perfect medium rare- at your request. Among others I'd definitely try out their daily specials, I've had a few and they're all delectable. The fish and seafood are all very fresh tasting and well seasoned. Their lemon potatoes are also a must try! For authentic Greek food this is the place to go!",123,0,0,,
1874012,2015-08-31,YXlttY653BYyby5Rbwt_fA,gotham-pizza-new-york,4.0,"I was looking for parking to eat something this was the closest one where I parked . It was ok , I had better ones before. I believe in order to get famous all have to something better than others and make something special than other pizza stores. That makes difference",51,0,0,,
1641365,2015-03-29,jqZWsRBYlmVGqpHihD02JQ,tryon-public-house-new-york,4.0,"Finally got the chance to try this place. The venue is beautiful, and it's nice to have a place to go in the neighborhood where you can get a drink and watch a game. Service was pretty good, and they have a decent selection of drinks. I had the mushroom burger. The burger portion was pretty dry but whatever they marinate the mushrooms in was amazing! I will definitely be back to enjoy the nice laid back atmosphere that doesn't turn into a club after 9pm.",86,0,0,,
3469232,2019-08-12,nmnx1kjjyvKuIcR_KkRzeQ,rosa-mexicano-new-york-3,2.0,Really bad experience.<br><br>The guac was super bland. The service was slow. I ordered the chicken enchiladas. My mom got the trio enchiladas and my sister got the fish tacos. My enchiladas were all right. The rest of my family hated their food.<br><br>Our server never came back to check on us.<br><br>The place wasn&#39;t too crowded and was very overpriced.<br><br>I wouldn&#39;t come back here again. The experience wasn&#39;t great and the environment was very loud and busy.,75,0,0,,
3010157,2018-04-19,-64EGdshqPYRlbCHSC53ng,john-f-kennedy-international-airport-jamaica-5,3.0,"As busy as an airport can ever be, but going thru Immigtation was so organised and fast that I was impressed specially if you had global entry.",27,0,0,,
3748554,2021-03-05,1_d0MY9YwWeKKZhpwtMZLA,miss-korea-bbq-new-york,5.0,"Came here for a dinner with friends. I have long sought a good KBBQ place in K-town and boy did I find one. Miss Korea is more than just food, it&#39;s a way of life. I came in to this meal expecting the same mundane existence of Korean BBQ, but I walked away a new soul. Can I promise you that you will have the same revelation that I had after eating here? Don&#39;t be silly, of course I can and it wil.",83,0,0,,
2262002,2016-05-11,XLWzJDeFGG9fLzR_aAeQzQ,yuji-ramen-brooklyn-3,5.0,Delicious and great service. a real authentic Japanese experience. As good at its sister restaurant Okonumi,16,0,0,,
1528569,2015-01-04,okvpmosiQMHstgLRr9B7cQ,dosa-delight-jackson-heights,1.0,"Terrible service. We came in and sat ourselves at a table. No one came to ask us for 10 mins. Even before having the food, we were already disappointed. Won't come back again.",33,0,0,,
1847933,2015-08-15,TmEDz33B31lWwprG1uXvNw,pork-slope-brooklyn,2.0,"I don't mean to be so harsh; I just don't understand.  With such an indulgent, whimsical menu... I should be in heaven right now.  The chicken nuggets are awesome.  But the buffalo shrimp were not balanced and soggy.  The Mac and cheese was just meh and the tater tots were wAy undercooked.",52,0,0,,
2173509,2016-03-17,4gdvasTKzQVY6bEZD_FIfg,fairway-cafe-new-york,4.0,Wasn't busy on a Thursday morning.  Service was fast and polite. The coffee was kept refilled. The pancakes were quite light and fluffy. There was a good variety of menu choices.  Prices are in line or just a tiny bit above typical sit down breakfast places.,46,0,0,,
1734130,2015-06-04,KKsfh-y9xMhpsn2uRxnULA,the-boil-new-york-3,5.0,"Is ALL that can be said! Truly! Is there a help group that caters to addicted diners of this establishment? I need the number.... A lb of skrimps, crawfish, potatoes n corn with the hot+fire mix on the side?!?! Stop it! It makes me feel as if I'm closer to God. Truly! Not to mention-- amidst being constantly slammed with customers, the staff and management are all EXCEPTIONAL! This! Is how a restaurant is run!",75,0,0,,
